id,questions,tag
93,"Regarding the histological lesions of glomerulopathies (one or more correct answers):
","Glomerulopathies are diseases that affect the glomeruli, which are the tiny filtering units within the kidneys responsible for removing waste and excess fluid from the blood. Histological lesions in glomerulopathies refer to the abnormalities that can be observed under a microscope in the kidney tissue. These lesions can vary depending on the specific type of glomerulopathy and may include features such as inflammation, scarring, deposition of abnormal substances, or changes in the structure of the glomerular cells. Understanding these histological lesions is crucial for diagnosing and managing glomerulopathies effectively."
94,"Histological diagnosis of prostate adenocarcinoma on biopsy mapping (one or more accurate responses):
","Prostate adenocarcinoma is a type of cancer that originates in the prostate gland, which is a part of the male reproductive system. It is the most common cancer affecting men and typically occurs in older age. A histological diagnosis of prostate adenocarcinoma is made by examining a biopsy sample under a microscope to identify the presence of cancerous cells. This diagnosis is crucial for determining the appropriate treatment plan and assessing the prognosis of the disease."
95,"During a surgical procedure, a frozen section examination on a tissue sample is requested. The sample must be sent to the pathology laboratory (one or more correct answers):
","Frozen section examination is a rapid diagnostic procedure performed during surgery to provide quick and accurate analysis of a tissue sample. This technique allows for the preservation of tissue morphology by freezing the sample, which enables pathologists to make a preliminary diagnosis within a short period of time. The tissue sample is typically sent to the pathology laboratory where it is frozen, sectioned, stained, and examined under a microscope. The purpose of this intraoperative consultation is to guide the surgeon in making critical decisions regarding the extent of surgery or further management."
96,"On a liver biopsy, findings supportive of the diagnosis of acute alcoholic hepatitis (one or more correct answers):
","Acute alcoholic hepatitis is a condition characterized by inflammation and damage of the liver caused by excessive alcohol consumption. On a liver biopsy, which is a procedure where a small sample of liver tissue is examined under a microscope, certain findings can support the diagnosis of acute alcoholic hepatitis. These findings may include the presence of hepatocytes (liver cells) with balloon-like swelling, known as ballooning degeneration, and infiltration of neutrophils, a type of white blood cell, around the damaged liver cells. Additionally, the biopsy may show evidence of Mallory-Denk bodies, which are abnormal collections of protein within liver cells, and perivenular fibrosis, which is scarring around the central veins of the liver."
97,"Molecular biology analyses as part of the anatomopathological diagnosis of a tumor (one or more correct answers)
","In the context of tumor diagnosis, molecular biology analyses are utilized to identify specific genetic or molecular abnormalities within the tumor cells. These analyses can include techniques such as DNA sequencing, fluorescence in situ hybridization (FISH), or polymerase chain reaction (PCR) to detect mutations, chromosomal rearrangements, or changes in gene expression levels. The identification of these molecular alterations is crucial for accurate classification, prognosis, and treatment planning for cancer patients. By understanding the genetic makeup of the tumor, clinicians can tailor treatment strategies to target specific molecular pathways involved in tumor growth and progression."
98,"Regarding Alzheimer's disease, which statement(s) is(are) correct?
","Alzheimer's disease is a progressive neurodegenerative disorder characterized by cognitive decline and memory loss. It is the most common cause of dementia in the elderly population. The disease is associated with the accumulation of beta-amyloid plaques and neurofibrillary tangles in the brain, leading to neuronal damage and cell death."
99,"Regarding the aging of organs, which statement(s) is(are) true:
","The aging of organs refers to the physiological changes that occur in organs as a person gets older. These changes can affect the structure and function of the organs, leading to a decline in their overall performance. In general, organ aging is characterized by a gradual loss of cells, an increase in fibrous tissue, and a decrease in blood flow. Additionally, there may be alterations in the activity of various enzymes and a reduced ability to repair damaged DNA."
100,"Concerning frailty syndrome, which proposition(s) is(are) correct?
","Frailty syndrome refers to a state of increased vulnerability to adverse health outcomes, characterized by decreased physiological reserves and functional capacity. It is a common condition among older adults and is associated with a higher risk of falls, hospitalization, disability, and mortality. Frailty is often evaluated using tools such as the Fried criteria, which assesses factors like muscle strength, endurance, balance, and physical activity levels. Understanding frailty is crucial for healthcare providers as it helps in tailoring interventions and managing expectations for patients."
101,"You are taking care of an 85-year-old patient in the emergency department for a head injury under vitamin K antagonist (VKA) prescribed for atrial fibrillation. The INR is 2.9. There is a petechiae on the brain CT scan. Among the following proposals, which one(s) do you retain for your therapeutic management?
","The patient is an 85-year-old individual who has presented to the emergency department with a head injury. They are currently being treated with a vitamin K antagonist (VKA), specifically for atrial fibrillation, which is a condition characterized by irregular heart rhythm. The International Normalized Ratio (INR) of 2.9 indicates that the patient's blood is more thin than normal, which increases the risk of bleeding. The presence of petechiae on the brain CT scan suggests minor bleeding in the brain. Given these findings, the therapeutic management options need to be carefully considered to address the head injury while also taking into account the patient's anticoagulation therapy and the potential for further bleeding complications."
102,"Which criterion/criteria among the following indicate(s) severe malnutrition in the elderly?
","Severe malnutrition in the elderly can be indicated by several criteria. One important criterion is a significant weight loss, which is often defined as a loss of 5% or more of body weight in a short period of time, such as one month. Another criterion is a low body mass index (BMI), which is calculated by dividing a person's weight in kilograms by the square of their height in meters. A BMI less than 18.5 is generally considered underweight and may indicate malnutrition. Additionally, a mid-arm circumference (MAC) less than 11.5 cm is also used as an indicator of severe malnutrition in the elderly."
